Date,storage
12/11/2007,665
19/11/2007,642
26/11/2007,617
3/12/2007,590
10/12/2007,569
17/12/2007,545
24/12/2007,525
31/12/2007,511
7/01/2008,485
14/01/2008,458
21/01/2008,430
28/01/2008,403
4/02/2008,374
11/02/2008,350
18/02/2008,325
25/02/2008,311
3/03/2008,296
10/03/2008,275
17/03/2008,253
24/03/2008,232
31/03/2008,226
7/04/2008,270
14/04/2008,278
21/04/2008,267
28/04/2008,257
5/05/2008,246
12/05/2008,257
19/05/2008,247
26/05/2008,238
2/06/2008,225
9/06/2008,210
16/06/2008,208
23/06/2008,202
30/06/2008,268
7/07/2008,323
14/07/2008,342
21/07/2008,338
28/07/2008,333
4/08/2008,326
11/08/2008,316
18/08/2008,348
25/08/2008,378
1/09/2008,381
8/09/2008,409
15/09/2008,441
22/09/2008,502
29/09/2008,576
6/10/2008,620
13/10/2008,637
20/10/2008,628
27/10/2008,610
3/11/2008,590
10/11/2008,579
17/11/2008,568
24/11/2008,568
1/12/2008,557
8/12/2008,584
15/12/2008,587
22/12/2008,571
29/12/2008,550
5/01/2009,571
12/01/2009,560
19/01/2009,549
26/01/2009,536
2/02/2009,515
9/02/2009,495
16/02/2009,471
23/02/2009,458
2/03/2009,464
9/03/2009,486
16/03/2009,489
23/03/2009,489
30/03/2009,468
6/04/2009,448
13/04/2009,438
20/04/2009,437
27/04/2009,422
4/05/2009,413
11/05/2009,398
18/05/2009,477
25/05/2009,484
1/06/2009,471
8/06/2009,457
15/06/2009,446
22/06/2009,428
29/06/2009,417
6/07/2009,464
13/07/2009,478
20/07/2009,479
27/07/2009,505
3/08/2009,577
10/08/2009,670
17/08/2009,686
24/08/2009,732
31/08/2009,769
7/09/2009,773
14/09/2009,786
21/09/2009,788
28/09/2009,791
5/10/2009,762
12/10/2009,748
19/10/2009,737
26/10/2009,720
2/11/2009,700
9/11/2009,687
16/11/2009,675
23/11/2009,653
30/11/2009,634
7/12/2009,617
14/12/2009,610
21/12/2009,603
28/12/2009,585
4/01/2010,561
11/01/2010,534
18/01/2010,513
25/01/2010,487
1/02/2010,460
8/02/2010,432
15/02/2010,407
22/02/2010,380
1/03/2010,354
8/03/2010,328
15/03/2010,309
22/03/2010,291
29/03/2010,276
5/04/2010,258
12/04/2010,251
19/04/2010,271
26/04/2010,279
3/05/2010,317
10/05/2010,334
17/05/2010,347
24/05/2010,332
31/05/2010,312
7/06/2010,291
14/06/2010,294
21/06/2010,319
28/06/2010,328
5/07/2010,317
12/07/2010,307
19/07/2010,321
26/07/2010,319
2/08/2010,313
9/08/2010,302
16/08/2010,319
23/08/2010,357
30/08/2010,401
6/09/2010,458
13/09/2010,490
20/09/2010,543
27/09/2010,589
4/10/2010,615
11/10/2010,630
18/10/2010,636
25/10/2010,649
1/11/2010,637
8/11/2010,627
15/11/2010,620
22/11/2010,612
29/11/2010,610
6/12/2010,596
13/12/2010,588
20/12/2010,585
27/12/2010,575
3/01/2011,558
10/01/2011,561
17/01/2011,567
24/01/2011,569
31/01/2011,560
7/02/2011,539
14/02/2011,518
21/02/2011,502
28/02/2011,499
7/03/2011,506
14/03/2011,488
21/03/2011,464
28/03/2011,454
4/04/2011,443
11/04/2011,430
18/04/2011,421
25/04/2011,408
2/05/2011,393
9/05/2011,374
16/05/2011,371
23/05/2011,373
30/05/2011,359
6/06/2011,356
13/06/2011,388
20/06/2011,390
27/06/2011,462
4/07/2011,469
11/07/2011,540
18/07/2011,584
25/07/2011,584
1/08/2011,606
8/08/2011,649
